Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Loja/Salão;Recreio dos Bandeirantes;0;1;0;54;1500.0;364.0;173.0
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0
Casa;Engenho Novo;2;0;0;70;1100.0;;
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;75;2500.0;1250.0;681.0
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;
Conjunto Comercial/Sala;Centro;0;0;0;90;2800.0;1640.0;270.0
Apartamento;Irajá;2;1;0;65;1100.0;255.0;
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0
Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;;
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0
Loja/Salão;Barra da Tijuca;0;1;0;49;2000.0;780.0;
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;
Conjunto Comercial/Sala;Ipanema;0;0;0;45;5000.0;2200.0;243.0
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0
Apartamento;Urca;1;0;0;53;2800.0;770.0;
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0
Loja/Salão;Engenho de Dentro;0;0;0;56;2200.0;;100.0
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0
Apartamento;Penha;2;0;0;64;950.0;180.0;
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;
Conjunto Comercial/Sala;Botafogo;0;3;0;90;5900.0;2220.0;
Loja/Salão;Barra da Tijuca;0;1;0;65;2200.0;595.0;500.0
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0
Loja/Salão;Santa Cruz;0;0;0;42;1000.0;;
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;
Conjunto Comercial/Sala;Centro;0;0;0;42;700.0;515.0;83.0
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;
Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0
Casa;Campo Grande;2;1;2;100;1500.0;;30.0
Apartamento;Laranjeiras;2;0;0;85;2100.0;700.0;95.0
Apartamento;Rio Comprido;2;1;0;69;1900.0;600.0;70.0
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0
Apartamento;Andaraí;2;1;0;56;1900.0;607.0;89.0
Casa;Vargem Grande;2;1;0;70;1900.0;580.0;25.0
Apartamento;Copacabana;2;0;0;81;3000.0;770.0;159.0
Apartamento;Barra da Tijuca;2;1;1;88;2400.0;1313.0;
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650.0;
Casa de Condomínio;Tanque;2;0;1;100;1500.0;160.0;80.0
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;2;0;88;2500.0;4500.0;1544.0
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;45;1100.0;1000.0;1.0
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;2;0;44;1500.0;949.0;52.0
Apartamento;Leblon;3;1;0;74;3300.0;700.0;83.0
Apartamento;Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0
Apartamento;Barra da Tijuca;2;1;0;70;2400.0;1800.0;150.0
Apartamento;Inhaúma;3;1;0;60;750.0;236.0;
Loja Shopping/ Ct Comercial;Jacarepaguá;0;1;0;61;4500.0;1.0;
Apartamento;Glória;1;0;0;48;1400.0;480.0;20.0
Apartamento;Ipanema;2;1;0;45;3000.0;575.0;25.0
Apartamento;Pechincha;2;1;0;65;950.0;640.0;126.0
Apartamento;Leblon;2;0;0;100;3800.0;900.0;195.0
Apartamento;Grajaú;3;2;1;90;2950.0;700.0;100.0
